formula,band_gap,energy_above_hull,formation_energy,volume,density,nsites,spacegroup_number
SnBrF,1.9941000000000004,0.23129453104166586,-1.6421010616666665,133.17573739740033,5.42672268172814,6,129
SnHg2(SBr)2,2.1758,0.13290987321428638,-0.5845471917857158,1406.3273071758572,3.513137939522845,28,14
SnHg2(SBr)2,2.3372,0.05196809500000077,-0.6654889700000014,1225.5877026268377,4.031226657739078,28,14
SnHg2(SBr)2,2.3254,0.07186450285714407,-0.6455925621428581,1283.0623085785637,3.850648394231105,28,14
SnHg2(SBr)2,1.9584,0.0057438089285724026,-0.7117132560714298,851.1670572086609,5.804526592498661,28,14
InSnBr3,1.7073,0.05868024599999799,-0.7587108385000022,212.3532139539347,3.7005962582048313,5,8
RbSnBr3,0.6010000000000002,0.044643826000002385,-1.4789800259999997,205.86806440407298,3.580430783806902,5,1
InSnBr3,1.0975,0.030300713999999118,-1.047631763333333,210.5433445485441,3.7324072658801826,5,1
InSnBr3,1.7591923284557722,0.02002808399999889,-1.0579043933333332,376.94058456499806,4.169535153040518,10,161
RbSnBr3,2.2976,0.0,-1.5236238520000005,701.0268168324552,4.205809749336594,20,62
KSnBr3,2.9147,0.012274417499997803,-1.4990104179500015,665.0417230363074,3.9702651185556457,20,62
InSnBr3,1.5767000000000002,0.06312885724999884,-1.0148036200833332,1271.902423816932,4.942728273871472,40,42
CsSnBr3,1.0107,0.0,-1.5720842714310372,783.0209314899195,4.167798824792286,20,62
CsSnBr3,0.5984,0.011195139500002504,-1.5608891319310367,199.07497852024176,4.098297212323472,5,221
InSnBr3,1.8470999999999997,0.04368562662499986,-1.0342468507083324,2649.6546772093625,4.745273507434391,80,1
SnH10Br4O5,2.2325,0.12931387624999946,-1.110044104125,597.323125600987,2.9378833388654697,40,15
CsSn2Br5,2.4409,0.02589130156249686,-1.3966663349568975,576.8579569066839,4.432142903134531,16,140
InSn2Br5,2.3056,0.032832050625000164,-1.0808807145833317,515.4768602512905,4.84337368224294,16,140
KSn2Br5,2.3632,0.01969130187499646,-1.364866687156252,521.6424011375317,4.304051997261961,16,140
